User ID;Age;Age Segmentation;Country;Streaming Platform;Top Genre;Minutes Streamed Per Day;Number of Songs Liked;Most Played Artist;Subscription Type;Listening Time (Morning/Afternoon/Night);Discover Weekly Engagement (%);Repeat Song Rate (%)
U1000;34;25-36;Japan;Tidal;Reggae;295;138;Adele;Free;Afternoon;47,42;16,74
U1001;24;13-24;Germany;Deezer;Country;86;388;Ed Sheeran;Premium;Night;12,06;69,25
U1002;49;49-60;Germany;Deezer;Pop;363;368;Post Malone;Premium;Afternoon;47,19;67,38
U1003;55;49-60;Australia;YouTube;Reggae;348;349;Dua Lipa;Premium;Morning;31,27;76,51
U1004;13;13-24;Germany;Amazon Music;Reggae;30;328;Adele;Free;Night;30,68;43,41
U1005;25;25-36;South Korea;Spotify;EDM;536;243;The Weeknd;Premium;Afternoon;70,26;27,79
U1006;49;49-60;Australia;Tidal;Country;547;70;Billie Eilish;Free;Night;11,92;37,75
U1007;32;25-36;UK;Amazon Music;Classical;98;448;Dua Lipa;Premium;Afternoon;29,48;18,80
U1008;25;25-36;Germany;Tidal;Metal;526;27;BTS;Premium;Morning;85,70;42,38
U1009;37;37-48;Brazil;Spotify;Reggae;514;299;Billie Eilish;Premium;Morning;53,39;46,89
U1010;40;37-48;South Korea;Deezer;Reggae;266;462;Taylor Swift;Premium;Morning;87,77;8,73
U1011;43;37-48;Brazil;Spotify;Rock;351;108;Drake;Free;Afternoon;48,15;23,70
U1012;46;37-48;Canada;Deezer;Rock;389;328;Ed Sheeran;Premium;Afternoon;20,24;43,38
U1013;57;49-60;Germany;Tidal;Rock;506;432;Drake;Free;Afternoon;41,11;37,83
U1014;23;13-24;India;Apple Music;Hip-Hop;502;215;Dua Lipa;Premium;Morning;68,46;48,60
U1015;33;25-36;UK;Spotify;Hip-Hop;193;11;Drake;Premium;Morning;39,73;52,44
U1016;19;13-24;India;Spotify;Country;542;499;Adele;Free;Morning;21,43;20,60
U1017;16;13-24;USA;Apple Music;R&B;13;423;Adele;Premium;Morning;12,46;17,93
U1018;17;13-24;Germany;Apple Music;Rock;383;468;Billie Eilish;Premium;Afternoon;25,09;8,58
U1019;39;37-48;India;Deezer;R&B;147;461;Bad Bunny;Premium;Afternoon;48,81;37,66
U1020;33;25-36;Australia;Apple Music;EDM;58;417;Post Malone;Premium;Afternoon;87,41;44,49
